code;value;year
SEN;71.5;2023
BOL;70.7;2023
FJI;70.2;2023
DZA;70;2023
BLR;69.9;2023
MEX;69.8;2023
STP;69.7;2023
ECU;69.4;2023
FSM;69.3;2023
SLV;69.3;2023
MAR;68.2;2023
THA;68;2023
SRB;67.9;2023
ARM;67.5;2023
MDA;67.4;2023
UZB;66.8;2023
BTN;66.4;2023
TUN;66.4;2023
IDN;65.6;2023
GAB;65.5;2023
SAU;65.3;2023
WSM;65.1;2023
BHR;65.1;2023
CHN;65.1;2023
TKM;64.5;2023
PRY;63.7;2023
MDV;62.9;2023
GHA;62.3;2023
JAM;61.9;2023
GUY;61.6;2023
DOM;60.8;2023
KAZ;60.6;2023
NAM;60.3;2023
MKD;60.3;2023
CPV;60.1;2023
BLZ;59.8;2023
SUR;59.7;2023
CUB;59.5;2023
VNM;58.3;2023
MNE;58;2023
CYP;57;2023
ALB;56.8;2023
BWA;55.3;2023
GRC;55.1;2023
MYS;55;2023
BRN;54.7;2023
ATG;53.8;2023
GRD;53.7;2023
SYC;53.3;2023
ROU;53;2023
TTO;52.9;2023
BGR;51.8;2023
MNG;51.3;2023
KWT;51.2;2023
BHS;49.2;2023
HUN;48.8;2023
PAN;48.7;2023
OMN;48.7;2023
HRV;48.7;2023
ARG;46.4;2023
BRB;45.4;2023
USA;45.3;2023
POL;45.2;2023
ISR;44.1;2023
ESP;43.5;2023
LVA;43.3;2023
ITA;42.6;2023
CHL;42.2;2023
GBR;41.9;2023
QAT;40.5;2023
CRI;40.4;2023
CZE;40.2;2023
LTU;39.4;2023
EST;38.6;2023
MUS;38;2023
SVK;37.8;2023
ARE;37;2023
URY;34.4;2023
MLT;33;2023
KOR;31.5;2023
BEL;31.4;2023
JPN;30.5;2023
FRA;28.8;2023
SVN;27.3;2023
PRT;25.7;2023
SGP;25.5;2023
DEU;24.6;2023
AUT;24.4;2023
AUS;22;2023
NLD;21;2023
SWE;20.6;2023
LUX;19.5;2023
IRL;19.5;2023
CAN;18.9;2023
DNK;17.9;2023
CHE;17.8;2023
NZL;16.7;2023
FIN;16;2023
ISL;15.7;2023
NOR;14.5;2023
YEM;111.7;2022
SOM;110.5;2022
SYR;108.4;2022
SSD;108.4;2022
CAF;108.1;2022
COD;107.3;2022
SDN;107.1;2022
AFG;105.9;2022
TCD;105.7;2022
MMR;100;2022
HTI;99.7;2022
GIN;99.6;2022
ETH;99.3;2022
MLI;98.6;2022
ZWE;97.8;2022
NGA;97.2;2022
CMR;96;2022
ERI;95.9;2022
BDI;95.4;2022
NER;95.2;2022
LBY;94.3;2022
MOZ;94.3;2022
IRQ;93.8;2022
COG;92.2;2022
UGA;92.1;2022
VEN;91.6;2022
GNB;91.3;2022
LBN;91.3;2022
