code;value;year
SVN;30.33350186;2018
BEL;29.65365045;2018
PRT;27.27345054;2018
AUT;26.1818803;2018
NLD;26.16998873;2018
DEU;25.83337236;2018
CAN;21.50558394;2018
NZL;20.88869978;2018
SWE;20.81881233;2018
AUS;20.770766;2018
LUX;20.75727646;2018
IRL;20.73930478;2018
ISL;20.3;2018
DNK;19.78517723;2018
CHE;19.20952631;2018
NOR;18.25872157;2018
FIN;17.93425193;2018
